gene	OT2_ID	pident	eval	OT2_description
jg12249	XP_022917017.1	100	0	general transcription factor 3C polypeptide 3
jg1225	XP_022908268.1	77.857	9e-72	uncharacterized protein K02A2.6-like
jg12250	XP_022916303.1	99.58	6.19e-165	uncharacterized protein LOC111426157
jg12251	XP_022916308.1	100	6.99e-129	paxillin-like isoform X2
jg12252	XP_022916303.1	100	0	uncharacterized protein LOC111426157
jg12253	XP_022916304.1	98.88	0	coiled-coil domain-containing protein 74A-like isoform X1
jg12253.t2	XP_022916306.1	98.78	0	coiled-coil domain-containing protein 74A-like isoform X2
jg12254	XP_022916325.1	97.936	0	protein spinster isoform X2
jg12254.t2	XP_022916325.1	100	0	protein spinster isoform X2
jg12254.t3	XP_022916326.1	89.982	0	protein spinster isoform X3
jg12255	XP_022916993.1	100	0	myosin light chain kinase A
jg12256	XP_022916992.1	99.402	0	trifunctional purine biosynthetic protein adenosine-3
jg12257	XP_022916999.1	100	2.3e-130	tetratricopeptide repeat protein 36 homolog isoform X2
jg12258	XP_022916994.1	99.731	0	translocation protein SEC62
jg12259	XP_022916997.1	100	0	dnaJ homolog subfamily C member 28
jg1226	XP_022904987.1	42.424	1.96e-38	uncharacterized protein LOC111417054
jg12260	XP_022916220.1	100	1.84e-110	SUZ domain-containing protein 1
jg12261	XP_022916212.1	100	0	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
jg12262	XP_022916215.1	100	0	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like isoform X1
jg12263	XP_022916217.1	100	0	uncharacterized protein LOC111426095
jg12264	XP_022916211.1	99.476	0	glutathione hydrolase 1 proenzyme-like
jg12265	XP_022916221.1	100	8.31e-111	uncharacterized protein LOC111426098
jg12266	XP_022916218.1	99.359	1.55e-110	uncharacterized protein LOC111426096
jg12267	XP_022917190.1	99.935	0	probable ATP-dependent DNA helicase HFM1
jg12267.t2	XP_022917190.1	99.908	0	probable ATP-dependent DNA helicase HFM1
jg12268	XP_022917136.1	100	9.26e-71	pro-resilin-like
jg12269	XP_022916350.1	100	0	GTP-binding protein 128up
jg1227	XP_022911208.1	98.969	1.88e-139	jerky protein homolog-like
jg12270	XP_022916351.1	100	0	trypsin delta/gamma-like protein CG30031
jg12271	XP_022916352.1	98.819	0	trypsin 3A1-like
jg12272	XP_022917192.1	99.637	0	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like
jg12273	XP_022916348.1	99.821	0	esterase FE4-like
jg12275	XP_022916738.1	99.023	0	sodium-dependent nutrient amino acid transporter 1-like
jg12276	XP_022916734.1	100	0	sodium-dependent nutrient amino acid transporter 1-like isoform X1
jg12277	XP_022916739.1	99.124	0	uncharacterized protein LOC111426449
jg12278	XP_022916740.1	99.666	0	nudix hydrolase 8 isoform X1
jg12279	XP_022916732.1	99.942	0	disks large homolog 5-like isoform X1
jg1228	XP_022920976.1	42.268	1.59e-21	uncharacterized protein LOC111429325
jg12280	XP_022916869.1	100	0	aquaporin-11
jg12281	XP_022917193.1	100	0	uncharacterized protein LOC111426750
jg12282	XP_022916601.1	100	9.7e-105	coiled-coil-helix-coiled-coil-helix domain-containing protein 2 isoform X2
jg12283	XP_022916886.1	100	2.16e-155	ER lumen protein-retaining receptor
jg12284	XP_022916682.1	100	2.86e-127	uncharacterized protein LOC111426407
jg12285	XP_022916880.1	100	0	probable actin-related protein 2/3 complex subunit 2
jg12286	XP_022916729.1	100	0	ribonuclease Z, mitochondrial isoform X3
jg12288	XP_022917043.1	100	9.29e-61	uncharacterized protein LOC111426654 isoform X2
jg12289	XP_022917041.1	100	1.5e-93	uncharacterized protein LOC111426654 isoform X1
jg1229	XP_022910560.1	28.97	4.95e-60	uncharacterized protein LOC111421623
jg12290	XP_022917040.1	100	0	DNA-directed RNA polymerase III subunit RPC5
jg12291	XP_022917044.1	99.927	0	uncharacterized protein LOC111426655 isoform X1
jg12293	XP_022917059.1	99.744	0	uncharacterized protein LOC111426661
jg12294	XP_022917049.1	99.789	0	interaptin-like
jg12297	XP_022917056.1	99.507	0	interaptin-like
jg12298	XP_022917057.1	99.835	0	uncharacterized protein LOC111426660
jg12299	XP_022917053.1	100	0	multiple inositol polyphosphate phosphatase 1-like isoform X2
jg123	XP_022906422.1	99.677	0	protein PF14_0175-like
jg12301	XP_022916971.1	100	0	eukaryotic translation initiation factor 3 subunit B
jg12302	XP_022916972.1	99.773	0	polypeptide N-acetylgalactosaminyltransferase 5-like isoform X1
jg12303	XP_022917195.1	100	5.01e-101	PEST proteolytic signal-containing nuclear protein-like
jg12304	XP_022917198.1	86.934	0	zinc finger protein 271-like isoform X3
jg12305	XP_022916343.1	99.795	0	intraflagellar transport protein 140 homolog
jg12306	XP_022914038.1	100	9.59e-28	uncharacterized protein LOC111424651
jg12307	XP_022916830.1	100	0	diacylglycerol kinase epsilon
jg12308	XP_022917177.1	99.508	0	vacuolar protein sorting-associated protein 18 homolog isoform X1
jg12309	XP_022917176.1	99.77	0	transmembrane protein 94 isoform X2
jg12310	XP_022916807.1	100	0	DCN1-like protein 3
jg12311	XP_022917301.1	99.806	0	BAG domain-containing protein Samui isoform X2
jg12311.t2	XP_022917300.1	99.811	0	BAG domain-containing protein Samui isoform X1
jg12312	XP_022917297.1	99.719	0	protein split ends-like isoform X4
jg12312.t2	XP_022917297.1	99.742	0	protein split ends-like isoform X4
jg12313	XP_022916660.1	100	0	60S ribosomal protein L3
jg12314	XP_022916783.1	95.172	1.71e-98	uncharacterized protein LOC111426483
jg12315	XP_022916198.1	100	0	RING finger protein unkempt isoform X1
jg12315.t2	XP_022916200.1	100	0	RING finger protein unkempt isoform X3
jg12316	XP_022916708.1	100	0	factor VIII intron 22 protein-like
jg12317	XP_022916271.1	99.925	0	uncharacterized protein LOC111426129 isoform X1
jg12318	XP_022916391.1	99.148	0	tsukushin-like
jg12320	XP_022916396.1	100	1.62e-138	class A basic helix-loop-helix protein 15
jg12321	XP_022916360.1	100	0	eukaryotic peptide chain release factor GTP-binding subunit ERF3A
jg12322	XP_022916367.1	99.805	0	probable tRNA (guanine(26)-N(2))-dimethyltransferase isoform X1
jg12324	XP_022916393.1	99.631	0	uncharacterized protein LOC111426203
jg12325	XP_022916395.1	100	2.81e-170	platelet-activating factor acetylhydrolase IB subunit gamma-like
jg12326	XP_022916399.1	100	6.4e-93	DNA-directed RNA polymerase III subunit RPC9
jg12327	XP_022916397.1	100	3.52e-130	density-regulated protein homolog
jg12328	XP_022916359.1	99.945	0	TATA-binding protein-associated factor 172
jg12329	XP_022916392.1	100	0	DNA fragmentation factor subunit beta
jg12330	XP_022916381.1	95.455	9.06e-87	serine-enriched protein isoform X3
jg12332	XP_022916382.1	100	0	serine-enriched protein isoform X4
jg12333	XP_022916369.1	99.425	0	alkaline phosphatase-like
jg12334	XP_022916361.1	99.814	0	alkaline phosphatase-like
jg12335	XP_022916378.1	100	2.62e-129	neo-calmodulin-like isoform X7
jg12335.t2	XP_022916377.1	96.032	9.74e-180	neo-calmodulin-like isoform X6
jg12336	XP_022916398.1	100	1.99e-110	troponin C-like
jg12338	XP_022916598.1	100	0	serine/threonine-protein kinase unc-51
jg12339	XP_022916785.1	100	1.49e-127	intraflagellar transport protein 22 homolog
jg1234.t2	XP_022915548.1	68.293	5.96e-95	uncharacterized protein MAL13P1.304-like
jg12341	XP_022917101.1	100	0	broad-complex core protein-like isoform X4
jg12341.t2	XP_022917104.1	100	0	broad-complex core protein isoforms 1/2/3/4/5-like isoform X7
jg12341.t3	XP_022917102.1	100	0	broad-complex core protein isoforms 1/2/3/4/5-like isoform X5
jg12342	XP_022917109.1	99.741	0	uncharacterized protein LOC111426692
jg12343	XP_022912057.1	84.746	1.91e-27	putative nuclease HARBI1, partial
jg12345	XP_022910827.1	99.401	1.3e-119	myb/SANT-like DNA-binding domain-containing protein 4
jg12346	XP_022917086.1	98.346	0	uncharacterized protein LOC111426687 isoform X1
jg12347	XP_022917110.1	100	0	protein phosphatase PTC7 homolog
jg12348	XP_022917092.1	97.856	0	putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X1
jg12349	XP_022917111.1	100	0	cytoplasmic phosphatidylinositol transfer protein 1
jg1235	XP_022909067.1	99.517	2.43e-148	uncharacterized protein LOC111420322, partial
jg12350	XP_022917112.1	100	0	derlin-2
jg12351	XP_022917108.1	99.559	0	sugar transporter ERD6-like 9
jg12352	XP_022917115.1	99.476	1.76e-137	uncharacterized protein LOC111426697 isoform X2
jg12353	XP_022916678.1	100	0	histone-binding protein RBBP4
jg12354	XP_022916677.1	99.769	0	homogentisate 1,2-dioxygenase
jg12355	XP_022916681.1	100	1.01e-160	elongation factor 1-beta'-like
jg12356	XP_022916675.1	100	0	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
jg12357	XP_022916680.1	100	0	methylglutaconyl-CoA hydratase, mitochondrial
jg12358	XP_022916679.1	99.703	0	dual specificity mitogen-activated protein kinase kinase 6
jg12359	XP_022917083.1	100	0	WW domain-binding protein 2 isoform X1
jg12360	XP_022917079.1	99.644	0	signal recognition particle subunit SRP68
jg12361	XP_022917081.1	99.669	0	probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 isoform X1
jg12362	XP_022917080.1	100	0	facilitated trehalose transporter Tret1-like
jg12364	XP_022916640.1	98.624	0	protein Gawky
jg12365	XP_022916254.1	100	0	putative inorganic phosphate cotransporter isoform X2
jg12366	XP_022916258.1	99.798	0	sodium-dependent phosphate transport protein 3-like isoform X1
jg12367	XP_022916251.1	99.688	0	beta-glucuronidase
jg12368	XP_022901694.1	41.057	1.15e-62	odorant receptor 4-like
jg12369	XP_022916266.1	99.674	0	estradiol 17-beta-dehydrogenase 11
jg1237	XP_022921165.1	35.423	4.22e-54	uncharacterized protein LOC111429474
jg12370	XP_022916265.1	99.706	0	estradiol 17-beta-dehydrogenase 11-like
jg12371	XP_022916269.1	98.734	0	5'-nucleotidase-like
jg12373	XP_022916263.1	99.789	0	uncharacterized protein LOC111426121
jg12374	XP_022916268.1	100	4.07e-150	uncharacterized protein LOC111426125
jg12375	XP_022916250.1	99.748	0	uncharacterized protein LOC111426117
jg12376	XP_022916267.1	93.478	1.16e-68	RNA-binding protein with serine-rich domain 1-B
jg12377	XP_022916720.1	100	1.74e-157	uncharacterized protein LOC111426437
jg12378	XP_022916719.1	100	0	zinc finger CCHC domain-containing protein 9-like
jg12379	XP_022916718.1	99.625	0	golgin subfamily A member 6-like protein 22 isoform X2
jg1238	XP_022902184.1	34.426	4.45e-27	uncharacterized protein K02A2.6-like
jg12380	XP_022916605.1	100	0	isoaspartyl peptidase/L-asparaginase-like
jg12381	XP_022916604.1	100	0	isoaspartyl peptidase/L-asparaginase-like
jg12383	XP_022916603.1	100	0	ring canal kelch homolog
jg12384	XP_022916661.1	100	0	serine protease Hayan-like
jg12385	XP_022916662.1	100	0	U5 small nuclear ribonucleoprotein 40 kDa protein
jg12386	XP_022916683.1	100	0	sodium-independent sulfate anion transporter isoform X1
jg12387	XP_022916690.1	100	4.63e-114	uncharacterized protein LOC111426413 isoform X1
jg12388	XP_022916687.1	100	0	hydroxyacylglutathione hydrolase, mitochondrial isoform X2
jg12389	XP_022916689.1	100	6.35e-167	HMG1/2-like protein
jg12390	XP_022916685.1	100	0	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial
jg12391	XP_022916654.1	100	0	probable ATP-dependent RNA helicase DDX47
jg12392	XP_022916651.1	100	0	uncharacterized protein LOC111426384
jg12393	XP_022916658.1	100	0	ribokinase
jg12394	XP_022916656.1	100	0	glyceraldehyde-3-phosphate dehydrogenase-like
jg12395	XP_022916659.1	100	1.23e-83	eukaryotic translation initiation factor 4E-binding protein 1
jg12396	XP_022916649.1	100	0	WD repeat-containing protein 81 isoform X2
jg12396.t2	XP_022916648.1	100	0	WD repeat-containing protein 81 isoform X1
jg12397	XP_022916653.1	100	0	serine/threonine-protein kinase RIO3
jg12398	XP_022916655.1	98.693	0	uncharacterized protein LOC111426388
jg12398.t2	XP_022916655.1	100	0	uncharacterized protein LOC111426388
jg12399	XP_022917194.1	99.606	0	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
jg124	XP_022906429.1	100	0	required for meiotic nuclear division protein 1 homolog
jg1240	XP_022920976.1	42.268	3.73e-22	uncharacterized protein LOC111429325
jg12400	XP_022916776.1	99.801	0	mitogen-activated protein kinase kinase kinase 7-like isoform X1
jg12401	XP_022916706.1	99.814	0	protein wntless
jg12402	XP_022916751.1	100	0	pickpocket protein 28-like
jg12403	XP_022916752.1	99.422	0	UPF0764 protein C16orf89 homolog
jg12404	XP_022916753.1	99.59	5.69e-180	L-xylulose reductase
jg12405	XP_022916755.1	100	1.97e-110	uncharacterized protein LOC111426463
jg12406	XP_022916750.1	100	9.3e-118	uncharacterized protein LOC111426458
jg12407	XP_022916764.1	99.574	6.94e-176	thaumatin-like protein 1b
jg12408	XP_022916969.1	98.916	0	uncharacterized protein LOC111426594
jg12409	XP_022916669.1	99.813	0	golgin subfamily B member 1-like isoform X2
jg12410	XP_022916867.1	99.398	0	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 isoform X2
jg12411	XP_022917156.1	100	5.71e-171	zinc finger CCHC domain-containing protein 24-like
jg12412	XP_022917152.1	100	1.69e-173	glutathione S-transferase theta-1-like
jg12413	XP_022917150.1	99.824	0	cyclin-dependent kinase-like 4
jg12413.t2	XP_022917150.1	99.274	0	cyclin-dependent kinase-like 4
jg12414	XP_022917157.1	100	2.16e-132	B9 domain-containing protein 1
jg12416	XP_022917151.1	100	0	SH2 domain-containing protein 4A-like
jg12417	XP_022916960.1	99.123	0	diphthine methyltransferase
jg12418	XP_022916961.1	98.773	1.37e-100	nucleolar protein 12
jg12419	XP_022916924.1	99.785	0	sialin-like
jg1242.t3	XP_022915548.1	67.805	2.06e-94	uncharacterized protein MAL13P1.304-like
jg12420	XP_022916923.1	99.839	0	sodium-independent sulfate anion transporter-like isoform X2
jg12421	XP_022916925.1	98.71	0	retinol dehydrogenase 12-like
jg12422	XP_022916602.1	100	0	WD repeat domain phosphoinositide-interacting protein 3
jg12425	XP_022916197.1	99.875	0	uncharacterized protein LOC111426085
jg12426	XP_022917288.1	99.833	0	tropomyosin-1, isoforms 33/34-like
jg12427	XP_022917290.1	100	0	uncharacterized protein LOC111426794
jg12428	XP_022917288.1	100	2.75e-153	tropomyosin-1, isoforms 33/34-like
jg12429	XP_022916210.1	100	0	uncharacterized protein LOC111426090
jg12430	XP_022917200.1	99.781	0	uncharacterized protein LOC111426755
jg12431	XP_022917039.1	100	0	uncharacterized protein LOC111426652
jg12432	XP_022916762.1	100	1.65e-172	sesquipedalian-1 isoform X1
jg12433	XP_022916761.1	100	0	serine-threonine kinase receptor-associated protein
jg12434	XP_022916666.1	100	1.32e-153	glucose-induced degradation protein 4 homolog
jg12435	XP_022916665.1	99.642	0	cytosolic endo-beta-N-acetylglucosaminidase 1 isoform X3
jg12436	XP_022917166.1	98.935	0	matrix metalloproteinase-2-like
jg12436.t2	XP_022917166.1	100	0	matrix metalloproteinase-2-like
jg12437	XP_022917170.1	100	0	cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like
jg12438	XP_022917171.1	99.363	1.83e-105	protein singed wings 2 isoform X1
jg12439	XP_022917173.1	99.51	7.84e-150	uncharacterized protein LOC111426735
jg1244	XP_022909613.1	89.706	1.09e-35	piggyBac transposable element-derived protein 4-like
jg12440	XP_022917171.1	97.659	0	protein singed wings 2 isoform X1
jg12441	XP_022916773.1	100	0	glutaminyl-peptide cyclotransferase isoform X1
jg12442	XP_022916310.1	100	0	actin-5C
jg12443	XP_022917139.1	99.399	0	UPF0764 protein C16orf89 homolog isoform X1
jg12444	XP_022916284.1	100	2.93e-155	enhancer of split mgamma protein-like
jg12445	XP_022916285.1	100	5.59e-120	enhancer of split malpha protein-like
jg12447	XP_022916617.1	100	3.26e-145	enhancer of split mgamma protein-like
jg12448	XP_022917064.1	100	0	hexamerin-like
jg12449	XP_022916615.1	100	0	hexamerin-1.1-like
jg12450	XP_022916616.1	99.583	0	frizzled-4-like
jg12451	XP_022916988.1	100	1.47e-166	superoxide dismutase [Mn], mitochondrial
jg12452	XP_022917292.1	99.401	0	PI-PLC X domain-containing protein 3
jg12453	XP_022917291.1	100	0	coiled-coil domain-containing protein 47
jg12454	XP_022917293.1	99.038	2.76e-145	uncharacterized protein LOC111426797
jg12456	XP_022917233.1	99.27	0	myosin heavy chain, muscle isoform X3
jg12456.t2	XP_022917241.1	99.004	0	myosin heavy chain, muscle isoform X11
jg12456.t3	XP_022917246.1	96.132	0	myosin heavy chain, muscle isoform X15
jg12456.t4	XP_022917272.1	97.51	0	myosin heavy chain, muscle isoform X39
jg12456.t5	XP_022917264.1	97.969	0	myosin heavy chain, muscle isoform X31
jg12456.t6	XP_022917246.1	97.706	0	myosin heavy chain, muscle isoform X15
jg12456.t7	XP_022917276.1	95.173	0	myosin heavy chain, muscle isoform X43
jg12456.t8	XP_022917246.1	97.706	0	myosin heavy chain, muscle isoform X15
jg12456.t9	XP_022917246.1	97.706	0	myosin heavy chain, muscle isoform X15
jg124560	XP_022917246.1	97.706	0	myosin heavy chain, muscle isoform X15
jg124561	XP_022917258.1	98.513	0	myosin heavy chain, muscle isoform X27
jg12457	XP_022917279.1	100	0	uncharacterized protein LOC111426786
jg12458	XP_022917284.1	92.172	0	endothelin-converting enzyme 1-like
jg12459	XP_022917281.1	99.89	0	testis-expressed protein 2 isoform X1
jg1246	XP_022911324.1	54.545	1.47e-24	general transcription factor II-I repeat domain-containing protein 2-like
jg12460	XP_022917285.1	100	0	26S proteasome non-ATPase regulatory subunit 12
jg12461	XP_022916346.1	99.775	0	proton-coupled amino acid transporter-like protein CG1139
jg12462	XP_022916344.1	100	0	F-box/LRR-repeat protein 4
jg12463	XP_022916347.1	100	1.38e-120	partner of Y14 and mago
jg12464	XP_022916345.1	100	0	proton-coupled folate transporter
jg12465	XP_022916804.1	99.927	0	uncharacterized protein LOC111426494
jg12466	XP_022916805.1	99.749	0	proton-coupled amino acid transporter-like protein CG1139
jg12467	XP_022916835.1	99.366	0	zinc finger protein 98-like
jg12468	XP_022916837.1	100	0	cytosolic Fe-S cluster assembly factor NUBP2 homolog
jg12469	XP_022916832.1	100	0	intraflagellar transport protein 56 isoform X2
jg12470	XP_022917076.1	100	0	suppressor of cytokine signaling 2-like isoform X1
jg12471	XP_022917075.1	98.629	0	general transcription factor 3C polypeptide 1
jg12472	XP_022916892.1	100	0	fatty-acid amide hydrolase 2-A-like
jg12473	XP_022916739.1	50.694	0	uncharacterized protein LOC111426449
jg12474	XP_022916893.1	100	0	26S proteasome non-ATPase regulatory subunit 6
jg12475	XP_022916890.1	100	0	transducin beta-like protein 2 isoform X4
jg12475.t2	XP_022916890.1	100	0	transducin beta-like protein 2 isoform X4
jg12476	XP_022916311.1	100	0	tyrosine-protein phosphatase non-receptor type 4
jg12477	XP_022916312.1	98.282	0	methyltransferase-like protein isoform X1
jg12478	XP_022916232.1	100	0	protein alan shepard isoform X4
jg12478.t2	XP_022916230.1	100	0	protein alan shepard isoform X2
jg12478.t3	XP_022916235.1	100	0	protein alan shepard isoform X7
jg12479	XP_022916859.1	100	1.1e-104	protein pinocchio
jg1248	XP_022911208.1	99.468	1.12e-134	jerky protein homolog-like
jg12480	XP_022916858.1	100	0	regulator of microtubule dynamics protein 1-like
jg12481	XP_022917158.1	100	0	insulin receptor substrate 1 isoform X1
jg12482	XP_022917164.1	100	3.81e-130	uncharacterized protein LOC111426730
jg12483	XP_022917163.1	100	0	zinc finger with UFM1-specific peptidase domain protein-like
jg12484	XP_022916697.1	100	0	mitochondrial 2-oxoglutarate/malate carrier protein
jg12485	XP_022916704.1	100	2.87e-96	histone H3.3-like
jg12486	XP_022916702.1	100	2.71e-148	rho GDP-dissociation inhibitor 1 isoform X2
jg12487	XP_022916703.1	100	6.87e-85	probable peptide chain release factor C12orf65, mitochondrial
jg12488	XP_022916695.1	100	0	zinc finger protein 93-like
jg12489	XP_022916698.1	100	0	phosphomannomutase
jg12490	XP_022916693.1	100	0	N-sulphoglucosamine sulphohydrolase isoform X1
jg12491	XP_022916692.1	100	0	nucleolar complex protein 2 homolog
jg12492	XP_022916760.1	100	0	nucleolar complex protein 4 homolog B
jg12493	XP_022917201.1	89.888	0	chitinase domain-containing protein 1-like
jg12494	XP_022916882.1	100	0	epidermal retinol dehydrogenase 2
jg12495	XP_022916722.1	100	0	cyclin-dependent kinase 5 activator 1
jg12496	XP_022916721.1	96.484	0	fatty-acid amide hydrolase 2-A-like
jg12497	XP_022916722.1	100	3.27e-94	cyclin-dependent kinase 5 activator 1
jg12498	XP_022916723.1	100	0	chitinase domain-containing protein 1
jg12499	XP_022917203.1	100	4e-109	7,8-dihydro-8-oxoguanine triphosphatase-like
jg125	XP_022906423.1	100	0	vacuolar protein sorting-associated protein 33A
jg1250	XP_022910560.1	28.97	4.95e-60	uncharacterized protein LOC111421623
jg12500	XP_022916426.1	100	0	pre-mRNA-processing factor 6
jg12501	XP_022916542.1	100	0	40S ribosomal protein SA
jg12502	XP_022916404.1	98.987	0	LOW QUALITY PROTEIN: tuberin
jg12503	XP_022916541.1	99.315	0	protein OSCP1
jg12504	XP_022916477.1	100	0	SET and MYND domain-containing protein 4
jg12505	XP_022916591.1	100	2.28e-45	cold and drought-regulated protein CORA-like
jg12506	XP_022916518.1	100	0	enoyl-[acyl-carrier-protein] reductase, mitochondrial
jg12507	XP_022916464.1	99.829	0	uncharacterized protein LOC111426250
jg12508	XP_022916442.1	99.721	0	rho GTPase-activating protein 20-like
jg12509	XP_022916561.1	99.5	2.5e-145	transmembrane protein 186
jg12510	XP_022916569.1	100	1.1e-118	EKC/KEOPS complex subunit Tprkb-like
jg12511	XP_022916594.1	100	5.34e-45	cytochrome c oxidase copper chaperone
jg12512	XP_022916590.1	98.889	9.76e-60	uncharacterized protein LOC111426328
jg12513	XP_022916413.1	99.919	0	uncharacterized protein CG7065-like isoform X1
jg12514	XP_022916544.1	100	1.35e-180	uncharacterized protein LOC111426295
jg12515	XP_022916568.1	100	2.58e-123	globin
jg12516	XP_022916418.1	100	0	lethal(2) giant larvae protein isoform X1
jg12517	XP_022916441.1	99.767	0	uncharacterized protein LOC111426236 isoform X2
jg12518	XP_022916432.1	99.875	0	leucine-rich repeat and guanylate kinase domain-containing protein-like
jg12519	XP_022916587.1	62.5	3.6e-38	protein yippee-like 2
jg12520	XP_022916454.1	99.209	0	SUN domain-containing protein 1-like
jg12521	XP_022916454.1	99.248	0	SUN domain-containing protein 1-like
jg12521.t2	XP_022916454.1	100	0	SUN domain-containing protein 1-like
jg12522	XP_022916587.1	100	1.1e-84	protein yippee-like 2
jg12523	XP_022916469.1	99.821	0	gastrula zinc finger protein XlCGF57.1-like
jg12524	XP_022916543.1	100	0	phospholipase A2 imperatoxin-1-like
jg12525	XP_022916476.1	100	0	coiled-coil domain-containing protein 65-like
jg12526	XP_022916562.1	100	2.62e-139	general odorant-binding protein 71
jg12527	XP_022916497.1	99.574	0	IQ domain-containing protein D
jg12528	XP_022916478.1	100	0	switch-associated protein 70-like isoform X1
jg12529	XP_022916498.1	99.782	0	putative inorganic phosphate cotransporter
jg12530	XP_022916533.1	100	0	graves disease carrier protein homolog
jg12531	XP_022916482.1	99.812	0	cytochrome P450 9e2-like
jg12532	XP_022916486.1	99.804	0	putative inorganic phosphate cotransporter
jg12533	XP_022917208.1	99.275	0	protein cortex-like
jg12534	XP_022916551.1	99.2	0	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial-like
jg12535	XP_022916536.1	99.64	0	mitochondrial 2-oxoglutarate/malate carrier protein-like isoform X1
jg12538	XP_022916573.1	100	4.63e-119	uncharacterized protein LOC111426315
jg12539	XP_022916535.1	99.674	0	oocyte zinc finger protein XlCOF26-like
jg1254	XP_022914858.1	42.593	4.48e-21	general transcription factor II-I repeat domain-containing protein 2-like isoform X2
jg12540	XP_022916512.1	100	0	stress-activated protein kinase JNK isoform X2
jg12540.t2	XP_022916512.1	93.798	0	stress-activated protein kinase JNK isoform X2
jg12540.t3	XP_022916513.1	93.557	0	stress-activated protein kinase JNK isoform X3
jg12541	XP_022916467.1	98.667	0	ATP-binding cassette sub-family G member 1-like isoform X3
jg12542	XP_022916428.1	99.527	0	dynein assembly factor 5, axonemal
jg12543	XP_022916455.1	100	0	uncharacterized protein LOC111426244
jg12544	XP_022916420.1	99.909	0	voltage-dependent calcium channel subunit alpha-2/delta-4
jg12545	XP_022916417.1	100	0	DNA-directed RNA polymerase III subunit RPC2
jg12546	XP_022916550.1	100	0	cell division cycle protein 123 homolog
jg12547	XP_022916581.1	98.387	5.62e-86	uncharacterized protein LOC111426324
jg12548	XP_022916579.1	99.231	3.68e-92	uncharacterized protein LOC111426322
jg12549	XP_022916574.1	100	1.37e-116	uncharacterized protein LOC111426316
jg12550	XP_022916580.1	100	8.2e-96	uncharacterized protein LOC111426323
jg12551	XP_022916576.1	100	2.17e-98	uncharacterized protein LOC111426318
jg12552	XP_022916475.1	99.288	0	asparagine synthetase domain-containing protein CG17486
jg12553	XP_022916431.1	99.752	0	protein HID1
jg12554	XP_022916566.1	99.306	1.46e-105	acyl carrier protein, mitochondrial isoform X3
jg12554.t2	XP_022916564.1	95.506	6.16e-122	acyl carrier protein, mitochondrial isoform X1
jg12555	XP_022916427.1	99.884	0	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog
jg12556	XP_022916521.1	100	0	septin-4
jg12557	XP_022916517.1	100	0	SPRY domain-containing SOCS box protein 3
jg12558	XP_022916460.1	96.429	0	ankyrin repeat domain-containing protein 13D isoform X1
jg12559	XP_022916526.1	99.242	5.88e-93	replication factor C subunit 5
jg12560	XP_022916575.1	100	6.79e-110	neurophysin 1-like
jg12561	XP_022916507.1	100	0	aspartate aminotransferase, mitochondrial-like
jg12562	XP_022916526.1	99.497	6.7e-144	replication factor C subunit 5
jg12563	XP_022916495.1	97.821	0	carboxypeptidase M-like isoform X3
jg12563.t2	XP_022916493.1	100	0	carboxypeptidase M-like isoform X1
jg12564	XP_022916459.1	100	0	uncharacterized protein LOC111426248
jg12565	XP_022916499.1	100	0	uncharacterized protein LOC111426271 isoform X1
jg12567	XP_022916481.1	100	0	histamine H2 receptor-like
jg12568	XP_022916451.1	100	0	glutathione hydrolase 1 proenzyme-like isoform X2
jg12569	XP_022916557.1	100	1.23e-172	protein bric-a-brac 2-like
jg12570	XP_022916456.1	99.834	0	actin-interacting protein 1
jg12571	XP_022916447.1	100	0	protein lin-54 homolog isoform X1
jg12572	XP_022916508.1	97.436	8.5e-83	voltage-dependent anion-selective channel-like isoform X1
jg12573	XP_022916508.1	98.951	0	voltage-dependent anion-selective channel-like isoform X1
jg12574	XP_022916529.1	100	0	protein phosphatase 1 regulatory subunit 7
jg12575	XP_022916571.1	100	1.96e-71	serine/arginine-rich splicing factor 2 isoform X2
jg12575.t2	XP_022916571.1	90.11	5.76e-52	serine/arginine-rich splicing factor 2 isoform X2
jg12575.t3	XP_022916571.1	95.238	3.55e-54	serine/arginine-rich splicing factor 2 isoform X2
jg12576	XP_022916589.1	100	2.38e-68	ragulator complex protein LAMTOR4 homolog
jg12577	XP_022916553.1	100	3.71e-170	transcription factor AP-1 isoform X1
jg12577.t2	XP_022916554.1	100	2.99e-166	transcription factor AP-1 isoform X2
jg12578	XP_022916400.1	99.729	0	uncharacterized protein LOC111426213 isoform X1
jg12579	XP_022917209.1	99.76	0	facilitated trehalose transporter Tret1-like
jg12580	XP_022917209.1	97.854	0	facilitated trehalose transporter Tret1-like
